day,lesson_num,tryit_name
1,1,Try It 01
2,1,Try It 02
3,1,Try It 03
4,1,Try It 04
5,1,Try It 05
6,1,Try It 06
7,1,Try It 07
8,1,Try It 08
9,1,Try It 08
10,1,Literacy
11,2,Try It 01
12,2,Try It 02
13,2,Try It 03
14,2,Try It 04
15,2,Try It 05
16,2,Try It 06
17,2,Try It 07
18,2,Try It 08
19,2,Try It 08
20,2,Try It 09
21,2,Try It 10
22,2,Try It 11
23,2,Try It 12
24,2,Try It 13
25,2,Try It 13
26,2,Literacy
27,3,Try It 01
28,3,Try It 02
29,3,Try It 03
30,3,Try It 04
31,3,Try It 05
32,3,Try It 06
33,3,Try It 07
34,3,Try It 08
35,3,Try It 08
36,3,Literacy
37,4,Try It 01
38,4,Try It 02
39,4,Try It 03
40,4,Try It 04
41,4,Try It 05
42,4,Try It 05
43,5,Try It 01
44,5,Try It 02
45,5,Try It 03
46,5,Try It 04
47,5,Try It 05
48,5,Try It 06
49,5,Try It 07
50,5,Try It 08
51,5,Try It 09
52,5,Try It 09
53,5,Literacy
54,6,Try It 01
55,6,Try It 02
56,6,Try It 03
57,6,Try It 04
58,6,Try It 05
59,6,Try It 06
60,6,Try It 07
61,6,Try It 08
62,6,Try It 09
63,6,Try It 10
64,6,Try It 10
65,6,Literacy
66,7,Try It 01
67,7,Try It 01
68,7,Try It 02
69,7,Try It 03
70,7,Try It 04
71,7,Try It 05
72,7,Try It 06
73,7,Try It 06
74,7,Try It 07
75,7,Try It 07
76,8,Try It 01
77,8,Try It 02
78,8,Try It 03
79,8,Try It 03
80,8,Try It 04
81,8,Try It 05
82,8,Try It 06
83,8,Try It 06
84,8,Try It 07
85,8,Try It 07
86,8,Try It 07
87,8,Try It 08
88,8,Try It 08
89,8,Literacy
90,9,Try It 01
91,9,Try It 01
92,9,Try It 02
93,9,Try It 02
94,9,Try It 03
95,9,Try It 04
96,9,Try It 04
97,9,Try It 05
98,9,Try It 06
99,9,Try It 07
100,9,Try It 08
101,9,Try It 09
102,9,Try It 09
103,9,Try It 09
104,9,Literacy
105,10,Try It 01
106,10,Try It 01
107,10,Try It 01
108,10,Try It 02
109,10,Try It 03
110,10,Try It 03
111,10,Try It 03
