day,lesson_num,tryit_name
1,1,Try It 01
2,1,Try It 02
3,1,Try It 03
4,1,Try It 04
5,1,Try It 05
6,1,Try It 06
7,1,Try It 07
8,1,Try It 08
9,1,Try It 08
10,1,Literacy
11,2,Try It 01
12,2,Try It 02
13,2,Try It 03
14,2,Try It 04
15,2,Try It 05
16,2,Try It 06
17,2,Try It 07
18,2,Try It 08
19,2,Try It 08
20,2,Try It 09
21,2,Try It 10
22,2,Try It 11
23,2,Try It 12
24,2,Try It 13
25,2,Try It 13
26,2,Literacy
27,3,Try It 01
28,3,Try It 02
29,3,Try It 03
30,3,Try It 04
31,3,Try It 05
32,3,Try It 06
33,3,Try It 07
34,3,Try It 08
35,3,Try It 08
36,3,Literacy
37,4,Try It 01
38,4,Try It 02
39,4,Try It 03
40,4,Try It 04
41,4,Try It 05
42,4,Try It 05
43,4,Try It 05
44,5,Try It 01
45,5,Try It 02
46,5,Try It 02
47,5,Try It 03
48,5,Try It 04
49,5,Try It 05
50,5,Try It 06
51,5,Try It 07
52,5,Try It 08
53,5,Try It 08
54,5,Try It 09
55,5,Try It 09
56,5,Literacy
57,5,Literacy
58,6,Try It 01
59,6,Try It 02
60,6,Try It 03
61,6,Try It 04
62,6,Try It 04
63,6,Try It 05
64,6,Try It 05
65,6,Try It 06
66,6,Try It 06
67,6,Try It 07
68,6,Try It 07
69,6,Try It 08
70,6,Try It 08
71,6,Try It 09
72,6,Try It 09
73,6,Try It 10
74,6,Try It 10
75,6,Literacy
76,6,Literacy
77,6,Literacy
78,7,Try It 01
79,7,Try It 01
80,7,Try It 02
81,7,Try It 02
82,7,Try It 03
83,7,Try It 03
84,7,Try It 04
85,7,Try It 04
86,7,Try It 05
87,7,Try It 05
88,7,Try It 06
89,7,Try It 06
90,7,Try It 07
91,7,Try It 07
92,7,Try It 07
93,7,Try It 07
94,8,Try It 01
95,8,Try It 01
96,8,Try It 02
97,8,Try It 03
98,8,Try It 03
99,8,Try It 04
100,8,Try It 04
101,8,Try It 05
102,8,Try It 05
103,8,Try It 06
104,8,Try It 06
105,8,Try It 07
106,8,Try It 07
107,8,Try It 07
108,8,Try It 08
109,8,Try It 08
110,8,Literacy
111,8,Literacy
112,9,Try It 01
113,9,Try It 01
114,9,Try It 02
115,9,Try It 02
116,9,Try It 03
117,9,Try It 04
118,9,Try It 04
119,9,Try It 05
120,9,Try It 05
121,9,Try It 05
122,9,Try It 06
123,9,Try It 06
124,9,Try It 07
125,9,Try It 07
126,9,Try It 08
127,9,Try It 08
128,9,Try It 09
129,9,Try It 09
130,9,Try It 09
131,9,Literacy
132,10,Try It 01
133,10,Try It 01
134,10,Try It 01
135,10,Try It 02
136,10,Try It 02
137,10,Try It 03
138,10,Try It 03
139,10,Try It 03
